Name,Year,Exp,Age,Tm,Pos,G,Gs,Mp,Fg,FgA,Fg%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,Ast,Stl,Blk,Tov,PF,Pts
Tony Allen,2013.0,8.0,31.0,0.0,2.0,79.0,79.0,26.7,3.6,8.1,0.445,0.0,0.3,0.125,3.6,7.8,0.458,0.447,1.7,2.4,0.717,1.5,3.1,4.6,1.2,1.5,0.6,1.2,2.7,8.9,
Tony Allen,2014.0,9.0,32.0,0.0,2.0,55.0,28.0,23.2,3.7,7.5,0.494,0.2,0.9,0.234,3.5,6.7,0.527,0.507,1.4,2.2,0.628,1.4,2.3,3.8,1.7,1.6,0.3,1.6,2.2,9.0,
Tony Allen,2015.0,10.0,33.0,0.0,2.0,63.0,41.0,26.2,3.6,7.2,0.495,0.2,0.5,0.345,3.4,6.8,0.505,0.505,1.3,2.0,0.627,1.6,2.8,4.4,1.4,2.0,0.5,1.4,2.6,8.6,
Tony Allen,2016.0,11.0,34.0,0.0,2.0,64.0,57.0,25.3,3.4,7.3,0.458,0.2,0.7,0.357,3.1,6.7,0.468,0.474,1.4,2.2,0.652,1.6,3.0,4.6,1.1,1.7,0.3,1.2,2.7,8.4,
Tony Allen,2017.0,12.0,35.0,0.0,2.0,71.0,66.0,27.0,3.9,8.4,0.461,0.2,0.8,0.278,3.6,7.6,0.479,0.473,1.1,1.8,0.615,2.3,3.2,5.5,1.4,1.6,0.4,1.4,2.5,9.1,
Al-Farouq Aminu,2011.0,0.0,20.0,0.0,3.0,81.0,14.0,17.9,2.0,5.0,0.394,0.6,1.8,0.315,1.4,3.2,0.437,0.45,1.1,1.5,0.773,0.9,2.4,3.3,0.7,0.7,0.3,1.3,1.5,5.6,
Al-Farouq Aminu,2012.0,1.0,21.0,0.0,3.0,66.0,21.0,22.4,2.3,5.5,0.411,0.2,0.7,0.277,2.1,4.8,0.431,0.429,1.3,1.7,0.754,1.4,3.2,4.7,1.0,0.9,0.5,1.4,2.1,6.0,
Al-Farouq Aminu,2013.0,2.0,22.0,0.0,3.0,76.0,71.0,27.2,3.0,6.2,0.475,0.1,0.3,0.211,2.9,6.0,0.486,0.479,1.3,1.8,0.737,1.8,5.9,7.7,1.4,1.2,0.7,1.5,2.0,7.3,
Al-Farouq Aminu,2014.0,3.0,23.0,0.0,3.0,80.0,65.0,25.6,2.9,6.2,0.474,0.2,0.6,0.271,2.8,5.6,0.496,0.487,1.1,1.7,0.664,1.6,4.6,6.2,1.4,1.0,0.5,1.1,1.8,7.2,
Al-Farouq Aminu,2015.0,4.0,24.0,0.0,3.0,74.0,3.0,18.5,2.0,4.8,0.412,0.5,1.7,0.274,1.5,3.1,0.485,0.459,1.1,1.6,0.712,1.5,3.1,4.6,0.8,0.9,0.8,0.7,1.9,5.6,
Al-Farouq Aminu,2016.0,5.0,25.0,0.0,3.0,82.0,82.0,28.5,3.6,8.8,0.416,1.5,4.3,0.361,2.1,4.5,0.468,0.503,1.4,1.9,0.737,1.2,4.9,6.1,1.7,0.9,0.6,1.5,2.1,10.2,
Al-Farouq Aminu,2017.0,6.0,26.0,0.0,3.0,61.0,25.0,29.1,3.0,7.6,0.393,1.1,3.5,0.33,1.9,4.2,0.445,0.468,1.6,2.2,0.706,1.3,6.1,7.4,1.6,1.0,0.7,1.5,1.7,8.7,
Lou Amundson,2007.0,0.0,24.0,0.5,4.0,11.0,0.0,8.1,0.5,1.4,0.4,0.0,0.0,0.0,0.5,1.4,0.4,0.4,0.4,0.9,0.4,1.2,1.4,2.5,0.1,0.1,0.7,0.5,1.4,1.5,
Lou Amundson,2008.0,1.0,25.0,0.0,4.0,16.0,0.0,4.0,0.5,1.0,0.5,0.0,0.0,0.0,0.5,1.0,0.5,0.5,0.1,0.4,0.286,0.4,0.3,0.8,0.0,0.1,0.1,0.1,0.8,1.1,
Lou Amundson,2009.0,2.0,26.0,0.0,4.0,76.0,0.0,13.7,1.8,3.3,0.536,0.0,0.0,0.0,1.8,3.3,0.538,0.536,0.7,1.6,0.442,1.7,1.9,3.6,0.4,0.4,0.9,0.7,2.0,4.2,
Lou Amundson,2010.0,3.0,27.0,0.0,4.0,79.0,0.0,14.8,1.9,3.5,0.551,0.0,0.0,0.0,1.9,3.5,0.553,0.551,0.8,1.6,0.545,1.6,2.8,4.4,0.4,0.3,0.9,0.7,2.1,4.7,
Lou Amundson,2011.0,4.0,28.0,0.0,4.0,46.0,7.0,15.0,1.8,4.0,0.454,0.0,0.0,0.0,1.8,4.0,0.454,0.454,0.7,1.9,0.391,1.8,2.3,4.0,0.4,0.3,0.7,0.5,1.9,4.3,
Lou Amundson,2012.0,5.0,29.0,0.0,4.0,60.0,0.0,12.6,1.5,3.5,0.43,0.0,0.0,0.0,1.5,3.5,0.43,0.43,0.6,1.4,0.427,1.6,2.1,3.7,0.2,0.5,0.7,0.8,2.1,3.6,
Lou Amundson,2013.0,6.0,30.0,0.5,4.0,39.0,0.0,9.5,0.8,2.1,0.395,0.0,0.0,0.0,0.8,2.1,0.395,0.395,0.3,0.9,0.333,1.2,1.5,2.7,0.3,0.4,0.3,0.5,1.4,1.9,
Lou Amundson,2014.0,7.0,31.0,0.5,4.0,19.0,0.0,9.7,0.8,1.7,0.5,0.0,0.0,0.0,0.8,1.7,0.5,0.5,0.3,1.3,0.25,1.5,1.4,2.9,0.3,0.5,0.6,0.7,2.6,2.0,
Lou Amundson,2015.0,8.0,32.0,0.5,4.0,53.0,35.0,17.7,2.1,4.8,0.427,0.0,0.0,0.0,2.1,4.8,0.429,0.427,0.8,1.6,0.471,1.8,3.3,5.1,1.3,0.4,1.0,1.2,2.4,4.9,
Lou Amundson,2016.0,9.0,33.0,0.0,4.0,29.0,0.0,7.0,0.7,1.8,0.358,0.0,0.0,0.0,0.7,1.8,0.358,0.358,0.5,0.9,0.519,0.8,0.9,1.7,0.4,0.2,0.2,0.5,1.5,1.8,
Chris Andersen,2002.0,0.0,23.0,0.0,5.0,24.0,1.0,10.9,1.0,3.1,0.338,0.0,0.2,0.0,1.0,2.9,0.357,0.338,0.9,1.2,0.786,1.6,1.6,3.2,0.3,0.3,1.2,0.5,1.5,3.0,
